Ticker,Company,Theme(s),Thesis Snapshot,Key 2026 Catalysts,What Moves It (Triggers),Notes,Catalyst Path,Date analyzed
NET,Cloudflare,Edge Compute / Edge AI,Workers & Workers AI enable global low-latency compute/inference.,New AI/vector features; enterprise adoption; usage-based expansion.,Outage/perf incidents; price changes; hyperscaler competition.,High-growth infra; valuation sensitive.,Feature launch → POCs → Enterprise rollout → Usage/ARPU expansion,10/29
HPE,HPE,Edge Networking / SSE,Aruba ESP/SASE; secure managed edge for enterprises.,ARR growth; NaaS adoption; AI networking upgrades.,Hyperscaler pressure; comp pricing; macro IT budgets.,Value + networking angle.,NaaS win → ARR ramp → AI networking refresh → Upsell SASE,10/29
NVDA,NVIDIA,Edge/Industrial Sim / GPUs,Omniverse + Jetson for edge AI/robots; dominant AI silicon.,New platform launches; industrial/digital twin partnerships.,Datacenter cycle; export rules; competitor roadmaps (AMD/QCOM).,Core compute beneficiary.,Platform launch → ISV/OEM partnerships → Volume shipments → Ecosystem lock‑in,10/29
AMT,American Tower,Edge/near-edge Infra (REIT),Towers + edge/colo exposure; AI data demand optionality.,Leasing trends; data/edge initiatives; carrier capex.,Rates; tenant consolidation; FX/EM.,Yield + optionality.,5G/AI leasing ↑ → Edge/colo pilots → Incremental tenancy → AFFO growth,10/29
ZBRA,Zebra Technologies,Frontline Devices / Vision,"Wearables, scanners, robotics/vision via acquisitions.",Retail/warehouse demand; vision attach; software ARR.,Retail cycles; competition; supply constraints.,Operating leverage in upcycles.,Hardware refresh → Vision/robotics attach → Software ARR,10/29
DUKEENERGYCORPORATIONXNYSDUK,,Grid transmission & advanced power electronics,,,,,"Catalyst path: FERC Order 1920 (regional long-term planning/cost allocation) + Order 2023 (interconnection) push utilities into filings by Dec 12, 2025, forcing multi-GW corridors (HV lines, STATCOM/VSC, advanced conductors).",10/04
MYRGROUPINC.XNASMYRG,,Grid transmission & advanced power electronics,,,,,"Catalyst path: FERC Order 1920 (regional long-term planning/cost allocation) + Order 2023 (interconnection) push utilities into filings by Dec 12, 2025, forcing multi-GW corridors (HV lines, STATCOM/VSC, advanced conductors).",10/04
QUANTASERVICESINC.XNYSPWR,,Grid transmission & advanced power electronics,,,,,“Speed-to-Power” conversions post Dec 12 filings ? enter ~Nov 25 ahead of utility templates. Pair vs XLU for alpha.,10/04
GEHC,GE HealthCare,Healthcare IoT / Monitoring,Enterprise patient monitoring + imaging AI; scale & channels.,Platform wins; AI workflow attach; service revenue growth.,Hospital budget cycles; supply chain; regulatory news.,Diversified diagnostics/monitoring.,Platform selection → AI workflow attach → Service revenue expansion,10/29
MASI,Masimo,Healthcare IoT / Monitoring,Patient monitoring + hospital-to-home solutions; connected platforms.,Enterprise contracts; home monitoring expansions; legal/strategy updates.,Hospital capex trends; product launches; pricing moves.,Monitoring-weighted; medium beta.,Enterprise win → Fleet rollout → Home monitoring attach → Cross‑sell platform,10/29
ABT,Abbott Laboratories,Healthcare IoT / RPM,FreeStyle Libre CGM + broad connected-care ecosystem; diversified med-tech.,"Libre feature upgrades, EU/US coverage gains, diabetes share data.",Regulatory/recall headlines; pricing/coverage; diabetes market growth.,Diversified buffer vs RPM volatility.,Feature upgrade → Regulatory/clearance → Coverage decisions → Market share updates,10/29
DXCM,Dexcom,Healthcare IoT / RPM,CGM leader (G7) with payer coverage & scale; recurring razor/razorblade.,"New CGM indications, payer coverage expansions, hardware refreshes, international rollouts.",FDA/coverage updates; competitor launches (ABT); earnings units/guidance.,Core quality name; steadier vs small caps.,Clinical data → FDA clearance/label → Payer coverage (CMS/commercial) → Device launch & distrib → International expansion,10/29
IRTC,iRhythm Technologies,Healthcare IoT / RPM,Zio cardiac patch; reimbursement & clinical data drive growth.,CPT/coverage updates; new indications; AI analysis improvements.,Medicare/private payer changes; competitive patches; hospital adoption.,Pure RPM exposure.,CPT code clarity → Coverage (MACs/Commercial) → Provider adoption → AI analytics upgrades,10/29
SENS,Senseonics,Healthcare IoT / RPM,Implantable CGM (Eversense 365); small-cap RPM beta.,US commercial ramp/partner wins; sensor longevity improvements.,Coverage wins/losses; partner distribution; financing runway.,High volatility; position size carefully.,Longevity data → FDA labeling → Payer coverage → US partner ramp,10/29
SIEGY,Siemens AG (ADR),Industrial Metaverse / PLM/MES,Xcelerator + Omniverse stack; vast installed base.,Customer case studies at scale; software growth; services attach.,Macro capex; FX (EUR); portfolio actions.,Industrial software + hardware leverage.,Reference deployment → Cross‑site replication → Services/consulting attach,10/29
NXPI,NXP Semiconductors,Industrial/Auto Edge,MCUs/SoCs for auto & industrial; power-efficient edge control.,Auto content growth; industrial demand; partnerships (NPUs).,Cycle risk; pricing; China exposure.,Quality cyclical; dividend/buyback.,Auto backlog → Content per vehicle ↑ → Industrial recovery → Mix/price,10/29
BSY,Bentley Systems,Infrastructure Twins (AEC),iTwin for roads/rails/utilities; deep ecosystem partnerships.,DOT/rail/utilities awards; SaaS mix; partner wins (Omniverse).,Public infrastructure timing; project delays.,Durable infra software play.,RFP/award → Pilot lines → State/agency rollout → Multi‑year SaaS,10/29
IQV,IQVIA,Life Sciences Services,CRO/data for pharma; not directly linked to QTS.,Booking trends; AI tools; M&A.,Biopharma budgets; competition.,Defensive CRO exposure.,Bookings ↑ → Backlog convert → Margin expansion → Data/AI attach,10/29
APPN,Appian,Low-code + RPA,Low-code process + embedded RPA; Gov/regulated wins.,GTM with partners; FedRAMP deals; AI features.,Competition; sales efficiency.,Higher beta low-code.,Fed/regulated win → Partner delivery → Low‑code + RPA expansion,10/29
ROK,Rockwell Automation,MES / Connected Worker,FactoryTalk & Plex Connected Worker in MES stack.,SaaS bookings; digital thread wins; partner deals.,Discrete mfg cycles; channel trends.,High-quality industrial software.,MES/Plex consolidation → Connected worker rollout → Analytics KPIs,10/29
A.O.SMITHCORPORATIONXNYSAOS,,PFAS remediation & water tech,,,,,Municipal PFAS program launches following EPA fall proposals ? mid-Nov starter position; optionality via Jan calls.,10/04
AGILENTTECHNOLOGIESINC.XNYSA,,PFAS remediation & water tech,,,,,"Catalyst path: EPA NPDWR proposal in Fall 2025 + EU restrictions toward 2026 ? municipal compliance budgets (testing, filtration, destruction).",10/04
CLEANHARBORSINC.XNYSCLH,,PFAS remediation & water tech,,,,,State mandates & disposal contracts; mean-revert spreads vs waste peers on contract prints.,10/04
PTC,PTC,PLM/IoT / Connected Worker,Windchill + ThingWorx + Vuforia; strong digital thread story.,SaaS transition progress; large logos; AR use cases.,Macro in discrete mfg; channel strength; FX.,Core enterprise software.,SaaS migration → PLM consolidation → AR work‑instructions → Connected worker scale,10/29
INTERNATIONALBUSINESSMACHINESCORPORATIONXNYSIBM,,Quantum computing & PQC migration,,,,,"AFRL awards, DARPA benchmarking, and NIST PQC FIPS (203/204/205) with migration timelines drive gov/enterprise spend (quantum systems + crypto-agility).",10/04
U,Unity Software,Real-time 3D / Twins,Unity Industry targets manufacturing/robotics twins.,Case studies; new pricing; enterprise penetration.,Game market cyclicality; pricing pushback.,Higher beta; enterprise pivot.,Industry SKU adoption → Enterprise penetration → Services/partner ecosystem,10/29
TRMB,Trimble,Reality Capture / Construction,Positioning + construction tech feeding twins.,Civil/infra awards; autonomy/robotics tie-ins.,Construction cycles; hardware margins.,Leverage to infra spend.,Hardware sale → SW workflow attach → Fleet standardization,10/29
PATH,UiPath,RPA / AI Agents,Leader in automation/orchestration; expanding AI-native features.,Large enterprise deals; platform launches; partner ecosystem.,Pricing/model shifts; comp from suites.,Core pure-play RPA.,Task mining → Bot deployment → AI/agent orchestration → Enterprise-wide scale,10/29
SSNC,SS&C Technologies,RPA via Blue Prism,Deep fin/healthcare customer base; cross-sell automation.,Vertical wins; margin expansion; M&A synergies.,Integration risk; macro in FS clients.,Value + automation exposure.,Blue Prism cross‑sell → Process library standardization → Margin expansion,10/29
AMBA,Ambarella,Vision SoCs / Edge AI,Camera/auto vision silicon; pushing GenAI features at the edge.,Auto ADAS wins; security/camera demand; new AI SKUs.,Consumer softness; China; customer concentration.,"Higher beta, leveraged to vision.",ADAS/vision win → Ramp with OEMs → New AI SKU attach → Share gains,10/29
ARIS,Aris Water Solutions,Water/Infra,Produced water recycling for energy basins.,Volume growth; contracts; regulatory policy.,Commodity activity; execution.,Yield + ESG angle.,Contract award → Recycling volume ↑ → Basin expansions,10/29
WTTR,Select Water Solutions,Water/Infra,Water services for energy/critical minerals theme.,Contract wins; pricing; M&A; policy tailwinds.,Commodity cycles; regional demand.,Cash flow + policy optionality.,Contract award → Volume ramp → Policy incentives → FCF,10/29
NOW,ServiceNow,Workflow + RPA,Now Platform with embedded RPA & AI; broad distribution.,Release waves; large deals; partner builds.,IT budget cycles; platform competition.,Suite advantage.,Module land → Platform upsell → RPA/AI attach → Enterprise standard,10/29
PEGA,Pegasystems,Workflow/RPA / Low-code,End-to-end orchestration; AWS AI partnership.,Modernization deals; cloud mix; genAI features.,Sales cycles; execution history.,Event-driven re-rating potential.,Modernize/core → Cloud migration → AI features → NRR uplift,10/29
AAPL,Apple,XR Devices (Enterprise),Vision Pro enterprise pilots for design/training.,New headset updates; enterprise case studies.,Device cadence; price/perf; developer traction.,Hardware-led XR angle.,HW roadmap → Enterprise pilot → Vertical apps → Broader deployment,10/29
META,Meta Platforms,XR Devices/Platform,Cost-down XR devices; enterprise/consumer mix.,New hardware; enterprise partnerships.,Ad market cyclicality; XR losses.,Optionality in XR adoption.,Cost-down SKU → Enterprise partnerships → Installed base growth,10/29
